"Link","Name of Parks","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","Type","W4Efsd 3","Address","W4Efsd 5","asd2asd","","W4Efsd 8","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3","W6VQef","W4Efsd 9","A1zNzb href","J8zHNe"
"https://www.google.com/maps/place/Sage/data=!4m7!3m6!1s0x6ad6405feefe64bf:0x14b96ef780951ca2!8m2!3d-37.8461724!4d145.1136109!16s%2Fg%2F11b6qg3_ss!19sChIJv2T-7l9A1moRohyVgPduuRQ?authuser=0&hl=en&rclk=1","Sage","4.0","(83)","·","$$","·","Restaurant","·","HD, 221 Burwood Hwy","·","","Closed","⋅ Opens 8:30AM Mon","https://lh5.googleusercontent.com/p/AF1QipNgEIwEVjkfcaA_NCLRC8KxEiTjMMEw5At8YcrD=w138-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Minamoto+Japanese+Restaurant/data=!4m7!3m6!1s0x6ad641cfde64adbd:0x2dfdecee344dece3!8m2!3d-37.8507105!4d145.0965156!16s%2Fg%2F11lryr46_9!19sChIJva1k3s9B1moR4-xNNO7s_S0?authuser=0&hl=en&rclk=1","Minamoto Japanese Restaurant","4.2","(33)","","","·","Japanese","·","22a Burwood Hwy","·","","Closed","⋅ Opens 12PM Mon","https://lh5.googleusercontent.com/p/AF1QipMkY6w-g0puH4xrGVeDJTNs9Fh2TTNke4pzBvno=w80-h106-k-no","Dine-in","·","Takeaway","·","Delivery","·","","https://food.google.com/chooseprovider?restaurantId=/g/11lryr46_9&g2lbs=AL1YbfUqC6avI4kCoOG4Fbs23ANRrdek_vflpxLMH-3ZTO0QY1AKPMRy2KtDymPHjsHmxpuvm5pj8s7wu9CRaSknpzZSpWHkaSZ99CFZ7Zo-g_JoZYNU8dY%3D&hl=en-AU&gl=au&fo_m=MfohQo559jFvMWvkddHzV46uMT_RFPQ05bfKMQVr5-7IofUJMU_hT8vrWuwRMUv3d8yCO4PgMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HHQ5Y66OGb2D4-EPyeSI8As&ei=HHQ5Y66OGb2D4-EPyeSI8As&fo_s=OA,AH","Order online"
"https://www.google.com/maps/place/Rosa+Mexicano/data=!4m7!3m6!1s0x6ad641ca5dc1fcf5:0xfe7b8402b812dea7!8m2!3d-37.8489441!4d145.1346941!16s%2Fg%2F11mvv30sgt!19sChIJ9fzBXcpB1moRp94SuAKEe_4?authuser=0&hl=en&rclk=1","Rosa Mexicano","4.1","(220)","·","$$","·","Mexican","·","Eat Street, T13/70 Middleborough Rd","·","","Closed","⋅ Opens 12PM Mon","https://lh5.googleusercontent.com/p/AF1QipPZpfGowFj6wan9s27NBLHT-VH2ewx30JenuZ4L=w163-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","https://www.google.com/maps/reserve/v/dine/c/ESZKZc6nyu4?source=pa&hl=en-AU&gei=HHQ5Y66OGb2D4-EPyeSI8As&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dau%26pb%3D!4m12!1m3!1d15902.062465697545!2d145.1265483489004!3d-37.83985756036363!2m3!1f0!2f0!3f0!3m2!1i1920!2i969!4f13.1!7i20!10b1!12m8!1m1!18b1!2m3!5m1!6e2!20e3!10b1!16b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m6!1shXI5Y-SPA9iM4-EP2dSm4Aw:2!2s1i:0,t:11886,p:hXI5Y-SPA9iM4-EP2dSm4Aw:2!7e81!12e5!17shXI5Y-SPA9iM4-EP2dSm4Aw:335!18e15!24m70!1m22!13m8!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!18m12!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!15b1!17b1!20b1!21b1!2b1!5m5!2b1!3b1!5b1!6b1!7b1!10m1!8e3!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m2!1b1!3b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m4!1m2!3b1!5b1!4b1!89b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i458!2i969!1m6!1m2!1i1870!2i0!2m2!1i1920!2i969!1m6!1m2!1i0!2i0!2m2!1i1920!2i20!1m6!1m2!1i0!2i949!2m2!1i1920!2i969!34m18!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!47m0!49m5!3b1!6m1!1b1!7m1!1e3!50m4!2e2!3m2!1b1!3b1!67m2!7b1!10b1!69i620%26q%3Ddinning%2Bin%2Bburwood%26oq%3Ddinning%2Bin%2Bburwood%26gs_l%3Dmaps.3..115i144k1.385007.385768.2.387199.8.7.0.0.0.0.337.1025.0j1j2j1.4.0....0...1ac.1.64.maps..6.2.555...38i377i430i444k1j38i377i430i427k1j38i377i430i426k1.0.%26ech%3D8%26psi%3DhXI5Y-SPA9iM4-EP2dSm4Aw.1664709254246.1","Reserve a table"
"https://www.google.com/maps/place/LAAN+TAAN+cafe/data=!4m7!3m6!1s0x6ad6412c7874f01d:0xafa27540d8c41a5b!8m2!3d-37.8497273!4d145.1211997!16s%2Fg%2F11t49ngd2w!19sChIJHfB0eCxB1moRWxrE2EB1oq8?authuser=0&hl=en&rclk=1","LAAN TAAN cafe","4.8","(11)","","","·","Thai","·","301 Burwood Hwy","·","","Closed","⋅ Opens 7AM Mon","https://lh5.googleusercontent.com/p/AF1QipN82NdZKmDof4AR7DpW9RRKkQlJVRJo4RPtHVep=w80-h120-k-no","Dine-in","·","Kerbside pickup","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Chef+Tan+Chinese+Restaurant-Burwood/data=!4m7!3m6!1s0x6ad640617460bd3f:0x120a606290d7e41a!8m2!3d-37.8495416!4d145.1198342!16s%2Fg%2F1tcx1nrc!19sChIJP71gdGFA1moRGuTXkGJgChI?authuser=0&hl=en&rclk=1","Chef Tan Chinese Restaurant-Burwood","3.5","(102)","·","$","·","Chinese","·","75 Station St","·","","Closed","⋅ Opens 10AM Mon","https://lh5.googleusercontent.com/p/AF1QipOZFyX2wg6uwX4yKhgxjcTg4D71k0nGFrFXi3Q-=w122-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","https://food.google.com/chooseprovider?restaurantId=/g/1tcx1nrc&g2lbs=AL1YbfWseD4kwqBKtoqL-4LoLly2mpPn9LL1L4VqQ7jJPK5cfDZS-Oc4Y_1jHwMLM5ujHq0Ab7wMjPX0cHf4HyfoG3J5H9AHI68QdX5MwaR6uOFUoCDJ2Ok%3D&hl=en-AU&gl=au&fo_m=MfohQo559jFvMWvkddHzV46uMT_RFPQ05bfKMQVr5-7IofUJMU_hT8vrWuwRMUv3d8yCO4PgMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HHQ5Y66OGb2D4-EPyeSI8As&ei=HHQ5Y66OGb2D4-EPyeSI8As&fo_s=OA,AH","Order online"
"https://www.google.com/maps/place/DUSA+BBQ/data=!4m7!3m6!1s0x6ad64190556be57b:0x8c6ac93326380d30!8m2!3d-37.8484963!4d145.1148481!16s%2Fg%2F11j458sl96!19sChIJe-VrVZBB1moRMA04JjPJaow?authuser=0&hl=en&rclk=1","DUSA BBQ","","","","","·","Restaurant","","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","Dine-in","·","Takeaway","","","·","","",""
"https://www.google.com/maps/place/Mr+Sun's+Kitchen/data=!4m7!3m6!1s0x6ad64061747a3483:0x637e66eaafe4d6a9!8m2!3d-37.8495913!4d145.1198563!16s%2Fg%2F11ddw_1m9f!19sChIJgzR6dGFA1moRqdbkr-pmfmM?authuser=0&hl=en&rclk=1","Mr Sun's Kitchen","4.3","(70)","·","$","·","Restaurant","·","73 Station St","·","","Closed","⋅ Opens 11AM Mon","https://lh5.googleusercontent.com/p/AF1QipMvcR7XFyyYMnC6KsFALQcf8H1JgZEDnxy6aUwh=w122-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","https://food.google.com/chooseprovider?restaurantId=/g/11ddw_1m9f&g2lbs=AL1YbfUFoLPGZoo0l1SY0zYNOumge8dSyl5T8my3iToJsEa2jSN2AH0_4BkkSytcUxMTTcFluTLSPPitUm9su_FsolL6JfCeQ17jC9PWoDBS8vFZx7V4Wqw%3D&hl=en-AU&gl=au&fo_m=MfohQo559jFvMWvkddHzV46uMT_RFPQ05bfKMQVr5-7IofUJMU_hT8vrWuwRMUv3d8yCO4PgMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HHQ5Y66OGb2D4-EPyeSI8As&ei=HHQ5Y66OGb2D4-EPyeSI8As&fo_s=OA,AH","Order online"
"https://www.google.com/maps/place/Noda+Grill+Burwood+%E5%90%8E%E9%99%A2%E7%83%A7%E7%83%A4/data=!4m7!3m6!1s0x6ad6416df5649023:0x2954c41c69c520aa!8m2!3d-37.850256!4d145.1195433!16s%2Fg%2F11sxbd_1mr!19sChIJI5Bk9W1B1moRqiDFaRzEVCk?authuser=0&hl=en&rclk=1","Noda Grill Burwood 后院烧烤","3.9","(31)","·","$","·","Restaurant","·","273 Burwood Hwy","·","","Closes soon","⋅ 10:30PM ⋅ Opens 6PM Wed","https://lh5.googleusercontent.com/p/AF1QipNDT5evxqzRPawBoPxyIz0VsVyS3X-Z87G7FDFV=w80-h106-k-no","Dine-in","·","Kerbside pickup","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Burwood+Cafe+and+Indian+takeaway/data=!4m7!3m6!1s0x6ad641e631a9ea2b:0x186330e11870e55a!8m2!3d-37.845176!4d145.106246!16s%2Fg%2F11h4f6rs3r!19sChIJK-qpMeZB1moRWuVwGOEwYxg?authuser=0&hl=en&rclk=1","Burwood Cafe and Indian takeaway","4.3","(303)","·","$","·","Indian","·","11 Faelen St","·","","Closed","⋅ Opens 12PM Mon","https://lh5.googleusercontent.com/p/AF1QipOoXDTlrGtaYCUCvFMAbdQWRQtikOVGSHwsAroX=w163-h92-k-no","Dine-in","·","Kerbside pickup","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Burwood+Food4u/data=!4m7!3m6!1s0x6ad6406173eaa1bb:0x66754b43fb8680f8!8m2!3d-37.8497097!4d145.1199083!16s%2Fg%2F1wfvmsrg!19sChIJu6Hqc2FA1moR-ICG-0NLdWY?authuser=0&hl=en&rclk=1","Burwood Food4u","4.4","(37)","·","$","·","Take Away Restaurant","·","69 Station St","·","","Closed","⋅ Opens 6AM Mon","https://lh5.googleusercontent.com/p/AF1QipOgSv3A7MW6lmtb3HWC5okP0LlTbNia45QoU6n2=w122-h92-k-no","Dine-in","·","Takeaway","","","·","","",""
