Link,Charger Name,Google Review Rate,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,Address,Source,EgL07d src,R8c4Qb,EgL07d src 2,R8c4Qb 2,A5dCOc src,JpCtJf,Power,yNqZw,lmLZWe,W4Efsd 5,Opening Time,Contact,Second Contact Number,fontBodyMedium
https://www.google.com/maps/place/Evie+Charging+Station/data=!4m7!3m6!1s0x6ad672c1e6966f6b:0xdf0fb1a94521e28f!8m2!3d-38.0547951!4d145.1159521!16s%2Fg%2F11spqh96zh!19sChIJa2-W5sFy1moRj-IhRamxD98?authuser=0&hl=en&rclk=1,Evie Charging Station,,,·,Electric vehicle charging station,·,1 Chelsea Rd,https://www.goevie.com.au/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 50 kW,,2-Feb,·,Open 24 hours,(03) 9706 6785,·,No reviews
https://www.google.com/maps/place/Tesla+Destination+Charger/data=!4m7!3m6!1s0x6ad616cadbfd4b1f:0x5eb69dd9f06c9c31!8m2!3d-38.002297!4d145.250432!16s%2Fg%2F11gr60b_3z!19sChIJH0v928oW1moRMZxs8Nmdtl4?authuser=0&hl=en&rclk=1,Tesla Destination Charger,,,·,Electric vehicle charging station,·,5-17 Doveton Ave,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Tesla,· 22 kW,Total,1,·,(03) 9771 6000,,,No reviews
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad614f7beb3b025:0x4101c32f0f4ad437!8m2!3d-37.9528594!4d145.1800715!16s%2Fg%2F11j8xgnyrh!19sChIJJbCzvvcU1moRN9RKDy_DAUE?authuser=0&hl=en&rclk=1,Chargefox Charging Station,5,-1,·,Electric vehicle charging station,·,550 Princes Hwy,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,,2-Feb,·,1300 518 038,,,
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad6422d3f22bf8b:0xe30238404ca46f76!8m2!3d-37.8208618!4d145.0398254!16s%2Fg%2F11hcz37hry!19sChIJi78iPy1C1moRdm-kTEA4AuM?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,5,-8,·,Electric vehicle charging station,·,20 William St,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CCS,· 50 kW,Total,1,,,,,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad669f36065af57:0xa2ac4b80ad018eb8!8m2!3d-37.8760732!4d145.0436879!16s%2Fg%2F11h4y32k9m!19sChIJV69lYPNp1moRuI4BrYBLrKI?authuser=0&hl=en&rclk=1,Chargefox Charging Station,3.8,-4,·,Electric vehicle charging station,·,880 Dandenong Rd,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 50 kW,,,·,Open 24 hours,1300 518 038,·,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad66ef70d9b4c75:0x9451a4226e396f66!8m2!3d-37.9593761!4d145.0177174!16s%2Fg%2F11ll486_ly!19sChIJdUybDfdu1moRZm85biKkUZQ?authuser=0&hl=en&rclk=1,Chargefox Charging Station,5,-2,·,Electric vehicle charging station,·,76 Royal Ave,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 50 kW,,1-Jan,·,,1300 518 038,,
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad66c23d620810b:0xf4c504a5b89692a4!8m2!3d-37.9584609!4d145.0548509!16s%2Fg%2F11ggr99n0_!19sChIJC4Eg1iNs1moRpJKWuKUExfQ?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,,,·,Electric vehicle charging station,·,1239-1241 Nepean Hwy,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,4,,,,,No reviews
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad66bcf93694b27:0xeb2ff94463c520f!8m2!3d-37.9509025!4d145.0803493!16s%2Fg%2F11bwh5rvz2!19sChIJJ0tpk89r1moRD1I8RpT_sg4?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,5,-1,·,Electric vehicle charging station,·,20 Corporate Dr,http://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,2,·,Open 24 hours,1300 518 038,·,
https://www.google.com/maps/place/Tesla+Destination+Charger/data=!4m7!3m6!1s0x6ad66a6894f6da13:0x35181b99a52a772!8m2!3d-37.886676!4d145.081194!16s%2Fg%2F11h6qjqdn8!19sChIJE9r2lGhq1moRcqdSmrmBUQM?authuser=0&hl=en&rclk=1,Tesla Destination Charger,4.3,-3,·,Electric vehicle charging station,·,1341 Dandenong Rd,https://www.tesla.com/charging,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Tesla,· 10 kW,Total,4,·,,(03) 9563 3355,,
https://www.google.com/maps/place/Tesla+Destination+Charger/data=!4m7!3m6!1s0x6ad63bd693c394c1:0xb7d2e25e6ae3237b!8m2!3d-37.8147452!4d145.2295859!16s%2Fg%2F11gmxpkx3t!19sChIJwZTDk9Y71moReyPjal7i0rc?authuser=0&hl=en&rclk=1,Tesla Destination Charger,4.3,-13,·,Electric vehicle charging station,·,175 Maroondah Hwy,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Tesla,· 22 kW,Total,2,·,·,Open 24 hours,(03) 9870 8377,
